Id,Display name,Site Handle (visible to searchers in the URL),Site domains,Crawl depth,Search engine,Notes
3821,Team McChord,afpw_62aw,"www.62aw.af.mil,www.mcchord.af.mil",Deep,BingV7,
3814,"166th Airlift Wing, Delaware Air National Guard",afpw_166aw,www.166aw.ang.af.mil,Deep,BingV7,
3810,307th Bomb Wing,afpw_307bw,www.307bw.afrc.af.mil,Deep,BingV7,
3799,"124th Fighter Wing, Idaho ANG",afpw_idaho,www.124thfighterwing.ang.af.mil,Deep,BingV7,
3798,"113th Wing, Air National Guard",afpw_113wg,www.113wg.ang.af.mil,Deep,BingV7,
3789,106th Rescue Wing,afpw_106rqw,www.106rqw.ang.af.mil,Deep,BingV7,
3693,Administrative & Financial Management,afm,www.afm.ars.usda.gov,Deep,BingV7,
2835,Air Force Civil Engineer Center,afpw_afcec,www.afcec.af.mil,Deep,BingV7,
2767,189th Airlift Wing,afpw_189aw,www.189aw.ang.af.mil,Deep,BingV7,
2662,Air Force Sustainment Center,afpw_sustainment,www.afsc.af.mil,Deep,BingV7,
2424,Air Force Personnel Center,afpw_afpc,afpc.af.mil,Deep,BingV7,
2382,10th Air Force,afpw_10af,www.10af.afrc.af.mil,Deep,BingV7,
2381,"109th Airlift Wing, New York ANG",afpw_109aw,www.109aw.ang.af.mil,Deep,BingV7,
2380,105th Airlift Wing,afpw_105aw,www.105aw.ang.af.mil,Deep,BingV7,
2379,104th Fighter Wing,afpw_104fw,www.104fw.ang.af.mil,Deep,BingV7,
2378,103rd Airlift Wing,afpw_103aw,www.103aw.ang.af.mil,Deep,BingV7,
2377,101st Air Refueling Wing,afpw_101arw,www.101arw.ang.af.mil,Deep,BingV7,
2376,102nd Intelligence Wing,afpw_102iw,www.102iw.ang.af.mil,Deep,BingV7,
1945,Air Force Reserve Command,afrc,www.afrc.af.mil,Deep,BingV7,
1947,Air Force Special Operations Command,afsoc,"www.afsoc.af.mil,www2.afsoc.af.mil",Deep,BingV7,
1948,Air Force Space Command,afspc,www.afspc.af.mil,Deep,BingV7,
1949,Air Force Weather Observer,afwa,www.afweather.af.mil,Deep,BingV7,
1932,United States Air Force Posture Statement,afpw_posturestatement,www.posturestatement.af.mil,Deep,BingV7,
1933,Air Force Privacy Act,afpw_privacyact,www.privacy.af.mil,Deep,BingV7,
1934,Air Force Acquisition,afpw_safaq,ww3.safaq.hq.af.mil,Deep,BingV7,
1935,Air Force General Counsel,afpw_safgc,www.safgc.hq.af.mil,Deep,BingV7,
1936,Air Force International Affairs,afpw_safia,www.safia.hq.af.mil,Deep,BingV7,
1937,Air Force Medical Service,afpw_sg,airforcemedicine.af.mil,Deep,BingV7,
1939,Air Force Trademark and Licensing Program,afpw_trademark,www.trademark.af.mil,Deep,BingV7,
1940,Travis Air Force Base,afpw_travis,www.travis.af.mil,Deep,BingV7,
1942,Volk Field,afpw_volk,www.volkfield.ang.af.mil,Deep,BingV7,
1943,Air Force Wounded Warrior,afpw_wounded,www.woundedwarrior.af.mil,Deep,BingV7,
1917,"JTF-Bravo, Soto Cano Air Base",afpw_jtfb,www.jtfb.southcom.mil,Deep,BingV7,
1922,Maxwell Air Force Base,afpw_maxwell,www.maxwell.af.mil,Deep,BingV7,
1925,McConnell Air Force Base,afpw_mcconnell,public.mcconnell.amc.af.mil,Deep,BingV7,
1925,McConnell Air Force Base,afpw_mcconnell,www.mcconnell.af.mil,Deep,BingV7,
1926,Joint Base McGuire-Dix-Lakehurst,afpw_mcguire,www.jbmdl.jb.mil,Deep,BingV7,
1927,Air Force Mortuary Affairs Operations,afpw_mortuary,www.mortuary.af.mil,Deep,BingV7,
1929,Offutt Air Force Base,afpw_offutt,www.offutt.af.mil,Deep,BingV7,
1928,Ohio Air National Guard,afpw_ohang,www.oh.ang.af.mil,Deep,BingV7,
1931,Pope Field,afpw_pope,www.pope.af.mil,Deep,BingV7,
1930,Personal Property Activity Headquarters,afpw_ppahq,www.ppahq.af.mil,Deep,BingV7,
1915,Air Force Entertainment Liaison Office,afpw_hollywood,www.airforcehollywood.af.mil,Deep,BingV7,
1915,Air Force Entertainment Liaison Office,afpw_hollywood,www.airforcehollywood.hq.af.mil,Deep,BingV7,
1916,United States Air Force Honor Guard,afpw_honor,www.honorguard.af.mil,Deep,BingV7,
1906,Air Force Network Integration Center,afnic,www.afnic.af.mil,Deep,BingV7,
1660,Fairchild Air Force Base,afpw_fairchild,www.fairchild.af.mil,Deep,BingV7,
1659,Air Force Compliance Division,afpw_foia,www.compliance.af.mil,Deep,BingV7,
1663,Grand Forks Air Force Base,afpw_grandforks,www.grandforks.af.mil,Deep,BingV7,
1626,Air Force Retirees Services,afpw_afro,www.retirees.af.mil,Deep,BingV7,
1627,Air Force Recruiting Service,afpw_afrs,www.rs.af.mil,Deep,BingV7,
1629,Air Force Security Forces Center,afpw_afsfc,www.afsfc.af.mil,Deep,BingV7,
1631,Air Force Week,afpw_afweek,www.airforceweek.af.mil,Deep,BingV7,
1644,Altus Air Force Base,afpw_altus,www.altus.af.mil,Deep,BingV7,
1645,Joint Base Andrews,afpw_andrews,www.jba.af.mil,Deep,BingV7,
1632,Air National Guard,afpw_ang,ang.af.mil,Deep,BingV7,
1637,Air National Guard Band of the Midwest,afpw_angbandmidwest,www.bandofthemidwest.ang.af.mil,Deep,BingV7,
1638,Air National Guard Band of the Northeast,afpw_angbandnortheast,www.bandofthenortheast.ang.af.mil,Deep,BingV7,
1640,Air National Guard Band of the Southwest,afpw_angbandsw,www.bandofthesouthwest.ang.af.mil,Deep,BingV7,
1642,Air National Guard Band of the West Coast,afpw_angbandwestcoast,www.bandofthewestcoast.ang.af.mil,Deep,BingV7,
1649,Air Force Bands Program,afpw_bandsprogram,www.bands.af.mil,Deep,BingV7,
1647,The United States Air Force Band,afpw_bandusaf,www.usafband.af.mil,Deep,BingV7,
1648,USAF Band of the West,afpw_bandwest,www.bandofthewest.af.mil,Deep,BingV7,
1652,Creech Air Force Base,afpw_creech,www.creech.af.mil,Deep,BingV7,
1653,AF Declassification,afpw_dclass,www.secretsdeclassified.af.mil,Deep,BingV7,
1654,Defense Institute for Medical Operations,afpw_dimo,www.dimo.af.mil,Deep,BingV7,
1655,Dover Air Force Base,afpw_dover,www.dover.af.mil,Deep,BingV7,
1656,Eastern Air Defense Sector,afpw_eads,www.eads.ang.af.mil,Deep,BingV7,
1657,Department of the Air Force - E-Publishing,afpw_epubs,"static.e-publishing.af.mil,www.e-publishing.af.mil",Deep,BingV7,
1658,Florida Air National Guard,afpw_flang,"www.125fw.ang.af.mil,www.fl.ang.af.mil",Deep,BingV7,
1603,477th Fighter Group,afpw_477fg,www.477fg.afrc.af.mil,Deep,BingV7,
1606,505th Command and Control Wing,afpw_505ccw,www.505ccw.acc.af.mil,Deep,BingV7,
1608,618th Air and Space Operations Center (TACC),afpw_618tacc,www.618tacc.amc.af.mil,Deep,BingV7,
1609,624th Regional Support Group,afpw_624rsg,www.624rsg.afrc.af.mil,Deep,BingV7,
1611,8th Air Force,afpw_8af,www.8af.af.mil,Deep,BingV7,
1612,926th Group,afpw_926gp,www.926wing.afrc.af.mil,Deep,BingV7,
1613,ANG AFRC Command Test Center,afpw_aatc,www.aatc.ang.af.mil,Deep,BingV7,
1614,Alternative Dispute Resolution,afpw_adr,www.adr.af.mil,Deep,BingV7,
1615,Air Force Be Ready,afpw_afbr,www.beready.af.mil,Deep,BingV7,
1618,Air Force Global Strike Command,afpw_afgsc,www.afgsc.af.mil,Deep,BingV7,
1619,Air Force Historical Research Agency,afpw_afhra,www.dafhistory.af.mil,Deep,BingV7,
1620,Air Force Historical Studies Office,afpw_afhso,www.afhso.af.mil,Deep,BingV7,
1622,USAF - www.afia.af.mil (afpw_afia),afpw_afia,www.afia.af.mil,Deep,BingV7,
1623,Air Force Judge Advocate General's Corps,afpw_afjag,www.afjag.af.mil,Deep,BingV7,
1576,"172nd Airlift Wing, Mississippi Air National Guard",afpw_172aw,www.172aw.ang.af.mil,Deep,BingV7,
1577,"173rd Fighter Wing, Oregon Air National Guard",afpw_173fw,www.173fw.ang.af.mil,Deep,BingV7,
1579,"175th Wing, Maryland Air National Guard",afpw_175wg,www.175wg.ang.af.mil,Deep,BingV7,
1580,"176th Wing, Alaska Air National Guard",afpw_176wg,www.176wg.ang.af.mil,Deep,BingV7,
1581,"177th Fighter Wing, New Jersey ANG",afpw_177fw,www.177fw.ang.af.mil,Deep,BingV7,
1582,"178th Wing, Ohio Air National Guard",afpw_178fw,www.178wing.ang.af.mil,Deep,,
1582,"178th Wing, Ohio Air National Guard",afpw_178fw,www.178fw.ang.af.mil,Deep,BingV7,
1583,"179th Airlift Wing, Ohio ANG",afpw_179aw,www.179aw.ang.af.mil,Deep,BingV7,
1585,"180th Fighter Wing, Ohio Air National Guard",afpw_180fw,www.180fw.ang.af.mil,Deep,BingV7,
1586,"181st Intelligence Wing, Indiana ANG",afpw_181iw,www.181iw.ang.af.mil,Deep,BingV7,
1587,"182nd Airlift Wing, Illinois Air National Guard",afpw_182aw,www.182aw.ang.af.mil,Deep,BingV7,
1588,"184th Intelligence Wing, Kansas Air National Guard",afpw_184iw,www.184iw.ang.af.mil,Deep,BingV7,
1589,"185th Air Refueling Wing, Iowa ANG",afpw_185arw,www.185arw.ang.af.mil,Deep,BingV7,
1590,"186th Air Refueling Wing, Mississippi Air National Guard",afpw_186arw,www.186arw.ang.af.mil,Deep,BingV7,
1591,"188th Wing, Arkansas ANG",afpw_188fw,www.188fw.ang.af.mil,Deep,BingV7,
1591,"188th Wing, Arkansas ANG",afpw_188fw,www.188wg.ang.af.mil,Deep,BingV7,
1592,18th Air Force,afpw_18af,www.18af.amc.af.mil,Deep,BingV7,
1593,"190th Air Refueling Wing, Kansas Air National Guard",afpw_190arw,www.190arw.ang.af.mil,Deep,BingV7,
1594,192D Fighter Wing,afpw_192fw,www.192fw.ang.af.mil,Deep,BingV7,
1594,192D Fighter Wing,afpw_192fw,www.192wg.ang.af.mil,Deep,BingV7,
1595,"193rd SOW, Pa. ANG",afpw_193sow,www.193sow.ang.af.mil,Deep,BingV7,
1597,"214th Reconnaissance Group, Arizona Air National Guard",afpw_214rg,www.214rg.ang.af.mil,Deep,BingV7,
1598,254th Combat Communications Group,afpw_254ccg,www.254ccg.ang.af.mil,Deep,BingV7,
1599,310th Space Wing,afpw_310sw,310sw.afrc.af.mil,Deep,BingV7,
1543,"134th ARW, Tennessee Air National Guard",afpw_134arw,www.134arw.ang.af.mil,Deep,BingV7,
1544,"136th Airlift Wing, Texas Air National Guard",afpw_136aw,www.136aw.ang.af.mil,Deep,BingV7,
1545,"137th Air Refueling Wing, Oklahoma ANG",afpw_137arw,www.137sow.ang.af.mil,Deep,BingV7,
1546,"138th Fighter Wing, Oklahoma ANG",afpw_138fw,www.138fw.ang.af.mil,Deep,BingV7,
1547,"139th Airlift Wing, Missouri Air National Guard",afpw_139aw,www.139aw.ang.af.mil,Deep,BingV7,
1549,"140th Wing, Colorado Air National Guard",afpw_140wg,www.140wg.ang.af.mil,Deep,BingV7,
1550,"141st Air Refueling Wing, Washington ANG",afpw_141arw,www.141arw.ang.af.mil,Deep,BingV7,
1551,"142nd Wing, Oregon Air National Guard",afpw_142fw,www.142fw.ang.af.mil,Deep,BingV7,
1552,"143rd Airlift Wing, Rhode Island ANG",afpw_143aw,www.143aw.ang.af.mil,Deep,BingV7,
1553,"144th Fighter Wing, California Air National Guard",afpw_144fw,www.144fw.ang.af.mil,Deep,BingV7,
1554,"145th Airlift Wing, North Carolina ANG",afpw_145aw,www.145aw.ang.af.mil,Deep,BingV7,
1555,"146th Airlift Wing, California ANG",afpw_146aw,www.146aw.ang.af.mil,Deep,BingV7,
1556,147th Reconnaissance Wing,afpw_147rw,www.147rw.ang.af.mil,Deep,BingV7,
1557,"148th Fighter Wing, Minnesota ANG",afpw_148fw,www.148fw.ang.af.mil,Deep,BingV7,
